"description.string()","type.string()","brand.string()","model.string()","serial.string()","uaz.string()","guard.string()","location.string()","details.string()","funding.string()","rfid.string()"
"Aire Acondicionado","cal","Mirage","EXC361T","EXC361T8031400654",3900000057255,"JFT","Área de pintarrones","-","-","id_01"
"Aire Acondicionado","cal","Mirage","EXC361T","EXC361T8031400655",3900000057256,"JFT","Área de mesas de trabajo","-","-","id_02"
"Workstation","comp","HP","Z620","2UA44525V8",35000000327001,"JFT","Estación de trabajo 5","-","FMX","id_03"
"Workstation","comp","HP","Z620","2UA44525V7",35000000326997,"JFT","Cubículo Dr Calviño","-","FMX","id_04"
"Workstation","comp","HP","Z620","2UA44525VB",35000000326998,"JFT","Estación de trabajo 7","-","FMX","id_05"
"Workstation","comp","HP","Z620","2UA44525VC",35000000326999,"JFT","Estación de trabajo 2","-","FMX","id_06"
"Workstation","comp","HP","Z620","2UA44525V9",35000000327000,"JFT","Estación de trabajo 6","-","FMX","id_07"
"Monitor","comp","HP","E271i","3CM4300N7",35000000966711,"JFT","Estación de trabajo 2","-","FMX","id_08"
"Monitor","comp","HP","E271i","3CM43008NY",35000000966716,"JFT","Estación de trabajo 2","-","FMX","id_09"
"Monitor","comp","HP","E271i","3CM43008P2",35000000966717,"JFT","Estación de trabajo 6","-","FMX","id_10"
"Monitor","comp","HP","E271i","3CM43008MB",35000000966719,"JFT","Estación de trabajo 6","-","FMX","id_11"
"Monitor","comp","HP","E271i","3CM43008NV",35000000966718,"JFT","Estación de trabajo 5","-","FMX","id_12"
"Monitor","comp","HP","E271i","3CM43008N3",35000000966714,"JFT","Estación de trabajo 5","-","FMX","id_13"
"Monitor","comp","HP","E271i","3CM43008N5",35000000966710,"JFT","Estación de trabajo 7","-","FMX","id_14"
"Monitor","comp","HP","E271i","3CM43008NJ",35000000966712,"JFT","Estación de trabajo 7","-","FMX","id_15"
"Monitor","comp","HP","E271i","3CM43008NM",35000000966713,"JFT","Cubículo Dr Calviño","-","FMX","id_16"
"Monitor","comp","HP","E271i","3CM43008MZ",35000000966715,"JFT","Cubículo Dr Calviño","-","FMX","id_17"
"No-break","comp","APC","BR1500G","4B1429P42003",3500000062692,"JFT","Estación de trabajo 7","-","FMX","id_18"
"No-break","comp","APC","BR1500G","4B1429P41541",3500000062694,"JFT","Estación de trabajo 1  y 6","-","FMX","id_19"
"No-break","comp","APC","BR1500G","4B1429P440004",3500000062690,"JFT","Estación de trabajo 5","-","FMX","id_20"
"No-break","comp","APC","BR1500G","4B1429P41902",3500000062693,"JFT","Estación de trabajo 2","-","FMX","id_21"
"No-break","comp","APC","BR1500G","4B1429P41900",3500000062691,"JFT","Cubículo Dr Calviño","-","FMX","id_22"
"Computadora CNC","comp","Lenovo","Ideacentre AIO 330","YJ00EB48","CNC","JFT","Mesa de entrada 2","-","-","id_23"
"Computadora impresora 3D","comp","HP","HP TouchSmart 320 PC","3CR1400ZWM",350000003204925,"JFT","Mesa de entrada 1","-","PMP","id_24"
"CPU","comp","Dell","Octiplex3020","CPTZM02",35000000326444,"SID","Recepción","-","FADOE","id_25"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F2YGB",35000000966196,"SID","Recepción","-","FADOE","id_26"
"Workstation/Laptop","comp","Dell","Precision 7520","8HYPMH2",35000000061438,"RSA","Estación de trabajo 4","-","-","id_27"
"Workstation/Laptop","comp","Dell","Precision 7520","82RCNH2",35000000061439,"RSA","Mesas antiestáticas","-","-","id_28"
"Monitor","comp",".Acer","K272EL","MM67PA00271109B1485",350000009790,,"Estación de trabajo 4","-","-","id_29"
"Workstation ensamblada","comp","Genérica","S/M","S/S",35000000139113,"RSA","Estación de trabajo 3","-","PDP","id_30"
"Monitor","comp","Samsung","SyncMasterT27B750","Z5R5ECJC400832A",35000000967759,"RSA","Estación de trabajo 3","-","PDP","id_31"
"No-break","comp","Complet","MT1005","17ZY310614",,,"Estación de trabajo 3","-","-","id_32"
"No-break","comp","VICA","S/M",61202017,3500000062504,,"Recepción","-","-","id_33"
"CPU","comp","Dell","Octiplex3020","CQK0N02",35000000326440,"SID","Mesa de entrada 2","-","FADOE","id_34"
"Monitor","comp","HP","27es","3CM8370BCQ",,,"Estación de trabajo 1","-","-","id_35"
"Monitor","comp","HP","27es","3CM8370BCY",,,"Estación de trabajo 1","-","-","id_36"
"Workstation","comp","HP","Z4","2UA8461BPB",,,"Estación de trabajo 1","-","-","id_37"
"Monitor","comp","HP","27es","3CM8370BCG",,,"Cubículo Ricardo","-","-","id_38"
"Monitor","comp","HP","27es","3CM8370B81",,,"Cubículo Ricardo","-","-","id_39"
"Workstation","comp","HP","Z4","2UA8461BP8",,,"Cubículo Ricardo","-","-","id_40"
"Workstation","comp",".Acer","AspireT","DTSXNAL001512A0DE830",35000000327151,"JFT","Mesas antiestáticas","-","CYT","id_41"
"Monitor","comp",".Acer","V206HQL","MMLY6AM00151507ABD85",35000000966867,"JFT","Mesas antiestáticas","-","CYT","id_42"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F1YCB",35000000966182,"SID","Mesas antiestáticas","-","FADOE","id_43"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F2Y2B",35000000966174,"SID","Mesas antiestáticas","-","FADOE","id_44"
"Workstation","comp","Dell","Precision Tower 3620","BS3LXK2",35000000327830,"RSA","Mesas antiestáticas","-","SEMAR","id_45"
"Workstation","comp","Dell","Precision T 1700","JW6T082",,,"Mesas antiestáticas","-","-","id_46"
"CPU","comp","Dell","Octiplex3020","CR82N02",35000000326441,"SID","Mesas antiestáticas","-","FADOE","id_47"
"CPU con monitor","comp","Apple","A1419","D25M414ZF8JS",3500000016135,"JFT","Cubículo Dr Jorge Flores","-","PMP","id_48"
"Monitor","comp","Apple","A1407","C02ND3ZYF2GC",35000000966721,"JFT","Cubículo Dr Jorge Flores","-","CONACYT","id_49"
"Disco duro","comp","LACIE","AR35U32","NL32AAQN",3500000116364,"JFT","Cubículo Dr Jorge Flores","-","FMX","id_50"
"Tablet/Ipad","comp","Apple","A1474","DMPN50JWPK12",3500000117153,"JFT","Cubículo Dr Jorge Flores","-","FMX","id_51"
"No-break","comp","APC","BR1000G","3D1651X14384",35000000621016,"JFT","Cubículo Dr Jorge Flores","-","CYT","id_52"
"CPU con monitor","comp","Apple","A1419","C02NV3D1FY11",3500000016276,"JFT","Cubículo Dr Israel Arriaga","-","CONACYT","id_53"
"CPU con monitor","comp","Apple","A1419","C02NV3DKFY11",3500000016277,"JFT","Cubículo Dr Juvenal Villanueva","-","CONACYT","id_54"
"CPU con monitor","comp","Apple","A1419","D25M414YF8JC",3500000016136,"SID","Cubículo Dr Jorge Simón","-","PMP","id_55"
"Monitor","comp","Apple","A1407","C02ND3Y6F2GC",35000000966720,"JFT","Cubículo Dr Jorge Simón","-","-","id_56"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F2Y1B",35000000966188,"SID","Cubículo Dr Jorge Simón","-","FADOE","id_57"
"CPU con monitor","comp","Apple","A1419","D25MC15ZF8JC",3500000016134,"RSA","Cubículo Dr Remberto Sandoval","-","PMP","id_58"
